fen,target
8/8/8/4pk2/8/4K3/8/8 w - - 0 1,draw
8/8/8/8/7p/5K2/7k/8 w - - 0 1,draw
5k2/8/4K3/5P2/8/8/8/8 w - - 0 1,checkmate
8/1k6/8/2PK4/8/8/8/8 w - - 0 1,checkmate
k7/p5K1/8/8/8/8/8/8 w - - 0 1,draw
8/8/8/8/8/1k5P/8/2K5 w - - 0 1,checkmate
8/8/8/3k4/8/8/4PK2/8 w - - 0 1,checkmate
4k3/8/8/8/8/8/4P3/4K3 w - - 0 1,checkmate
4k3/4p3/8/8/8/8/8/4K3 w - - 0 1,draw
8/8/8/2k5/8/3K4/2P5/8 w - - 0 1,checkmate
8/8/8/8/p1k5/4K3/8/8 w - - 0 1,draw
8/8/4k3/8/8/4K3/3P4/8 w - - 0 1,checkmate
8/3k4/1K6/8/8/8/P7/8 w - - 0 1,checkmate
6k1/8/8/8/8/8/2P5/7K w - - 0 1,checkmate
4k3/8/4K3/4P3/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/5k2/4p3/4K3/8 w - - 0 1,draw
8/8/8/8/3P1k2/8/4K3/8 w - - 0 1,checkmate
8/7K/8/k7/8/3P4/8/8 w - - 0 1,checkmate
3k4/8/K7/8/8/8/P7/8 w - - 0 1,checkmate
8/8/5k2/8/5K2/8/4P3/8 w - - 0 1,checkmate
6k1/8/7K/8/2P5/8/8/8 w - - 0 1,checkmate
8/k1P5/8/K7/8/8/8/8 w - - 0 1,checkmate
8/Pk6/1P6/3K4/8/8/8/8 w - - 0 1,checkmate
3k4/8/8/6K1/7P/8/8/8 w - - 0 1,checkmate
8/8/6k1/8/6K1/P7/8/8 w - - 0 1,checkmate
6k1/8/4P3/8/1K6/8/8/8 w - - 0 1,checkmate
5k2/8/5K2/4P3/8/8/8/8 w - - 0 1,checkmate
4k3/8/3P4/4K3/8/8/8/8 w - - 0 1,checkmate
8/8/8/6K1/8/5k2/P7/8 w - - 0 1,checkmate
8/8/8/8/4k2r/8/4K3/R7 w - - 0 1,checkmate
8/7k/8/8/8/3P4/8/6K1 w - - 0 1,checkmate
8/8/8/8/5K2/7p/8/7k w - - 0 1,draw
8/8/8/8/3kp3/8/3K4/8 w - - 0 1,draw
k7/8/8/8/4P3/8/1K6/8 w - - 0 1,checkmate
8/8/8/8/8/3k4/PK6/8 w - - 0 1,checkmate
8/8/8/4P3/k7/8/8/K7 w - - 0 1,checkmate
8/8/4K2P/8/8/p2k4/8/8 w - - 0 1,checkmate
8/5k2/8/4P3/7P/8/8/K7 w - - 0 1,checkmate
8/4k3/6K1/7P/8/8/8/8 w - - 0 1,checkmate
4k3/8/8/4P1K1/8/8/8/8 w - - 0 1,checkmate
3k4/8/1P6/8/4K3/8/8/8 w - - 0 1,checkmate
8/8/3K4/8/8/2k5/P7/8 w - - 0 1,checkmate
k7/8/8/5p2/8/8/8/K7 w - - 0 1,draw
8/8/8/5k2/5P1P/8/8/6K1 w - - 0 1,checkmate
8/8/8/1P6/5k2/8/4K3/8 w - - 0 1,checkmate
8/2K5/4p3/4P3/6k1/8/8/8 w - - 0 1,checkmate
3k4/8/2P5/K7/8/8/8/8 w - - 0 1,checkmate
8/p7/8/k7/5K2/8/8/8 w - - 0 1,draw
8/8/8/3k4/3b4/6Q1/8/1K6 w - - 0 1,checkmate
8/8/8/p2K4/k7/8/8/8 w - - 0 1,draw
8/8/4N3/8/8/6K1/5p2/6k1 w - - 0 1,draw
k7/8/2P5/8/K7/8/8/8 w - - 0 1,checkmate
KR6/8/8/8/p7/k7/8/8 w - - 0 1,checkmate
K7/5k2/4p3/4P3/8/8/8/8 w - - 0 1,checkmate
8/2k5/4P3/2K5/8/8/8/8 w - - 0 1,checkmate
8/8/8/3k4/3P4/4K3/3P4/8 w - - 0 1,checkmate
8/1k2K3/8/8/2P5/8/8/8 w - - 0 1,checkmate
7k/5K2/8/6P1/8/8/8/8 w - - 0 1,checkmate
3k4/8/4PK2/8/1b5B/8/8/8 w - - 0 1,checkmate
k7/8/2K5/7p/8/8/8/8 w - - 0 1,draw
8/8/8/8/p2k4/8/K1p5/8 w - - 0 1,draw
8/8/8/1kp5/8/8/8/K7 w - - 0 1,draw
8/8/7p/8/8/8/3K4/5k2 w - - 0 1,draw
n7/P7/8/3K4/8/5k2/8/8 w - - 0 1,checkmate
k7/8/1p6/1P6/8/8/7K/8 w - - 0 1,checkmate
8/8/8/8/8/p7/2K1N3/k7 w - - 0 1,checkmate
8/8/3kP3/3P4/8/8/8/K7 w - - 0 1,checkmate
8/7K/8/8/4k3/8/7P/8 w - - 0 1,checkmate
8/5k2/4p3/4P1K1/8/8/8/8 w - - 0 1,checkmate
8/5k2/3P4/8/6K1/8/8/8 w - - 0 1,checkmate
8/1p6/8/8/5K2/3k4/6P1/8 w - - 0 1,checkmate
5k2/8/8/8/3PK3/8/8/8 w - - 0 1,checkmate
2k5/8/8/8/8/5P2/8/4K3 w - - 0 1,checkmate
1R6/8/8/8/8/2K5/1p6/k7 w - - 0 1,checkmate
K6k/8/5P1p/8/8/8/8/8 w - - 0 1,draw
8/K7/8/8/8/1k6/1N1p4/8 w - - 0 1,draw
8/8/8/8/p2K4/8/k7/8 w - - 0 1,draw
8/8/5b2/3kp3/3p4/5K2/8/5B2 w - - 0 1,draw
8/8/4R3/2k1K3/8/8/1p6/8 w - - 0 1,draw
6K1/r5P1/5k2/8/8/8/8/8 w - - 0 1,draw
8/Q5K1/8/8/8/8/3kp3/8 w - - 0 1,checkmate
